Strain,Carbohydrates,Protein Metabolism,Respiration,Regulation and Cell signaling
316,62,187,39,59
83,114,202,56,64
94-081,57,186,53,22
ABG,106,216,58,88
ACAM 123,113,206,46,46
ATCC 29551,107,222,75,102
ATCC 35035,65,179,51,35
ATCC 49512,55,180,54,20
ATCC BAA-2541,104,206,58,110
B17,126,233,55,65
CF136,134,193,60,96
CSF-298-10,53,182,53,20
DD5b,83,152,50,38
DK69,51,186,54,30
DSM 12611,130,209,70,104
DSM 15343,69,175,42,44
DSM 15936,120,200,65,96
DSM 17447,56,166,46,38
DSM 17623,86,183,60,69
DSM 17707,46,175,51,38
DSM 17708,135,179,54,46
DSM 19725,72,188,54,75
DSM 2063,107,228,75,102
DSM 21788,90,173,47,112
DSM 22377,59,188,55,50
EC11,89,192,39,90
EM1321,132,164,56,62
F52,125,194,69,128
FL-15,66,172,50,29
FPG3,52,160,53,32
GSE09,133,208,67,101
HBTb2-11-1,127,195,65,114
IK-1,98,194,58,89
JC2902,55,184,54,48
JIP0286,51,168,53,33
LMG 10402,88,179,55,43
LMG 25512,100,198,64,119
LMG 26729,146,201,65,137
LPB0076,60,199,51,29
Leaf359,50,189,55,89
Leaf82,115,211,64,121
M31R6,137,217,62,67
MEB061,121,202,67,150
PL002,103,192,61,71
PS1,119,194,59,72
Pf1,53,196,53,20
R2A-7,49,177,52,44
Root186,129,208,69,140
Root420,157,217,64,120
SLB02,145,219,65,162
TP390,70,193,39,62
UGB4466,91,205,61,116
UW101,129,243,73,144
VMW,126,201,71,152
